GameID,Half,PlayerID,FrameID,Time,GameClock,Speed,AccelImpulse,AccelLoad,AccelX,AccelY,AccelZ,Longitude,Latitude
4,1,18,1,12/30/1899 10:06:08 AM,12/30/1899 12:00:00 AM,1.73055694,0,0.046049456,0.0025,-1.11625,0.555,-82.349545128,48.443027254
4,1,18,18,12/30/1899 10:06:10 AM,12/30/1899 12:00:01 AM,5.42500434,0,0.122449256,0.82125,-1.53,1.6,-82.349481727,48.443022329
4,1,18,36,12/30/1899 10:06:12 AM,12/30/1899 12:00:03 AM,3.15833586,0,0.053113531,0.28875,-1.32125,0.33625,-82.349414868,48.443007638
4,1,18,267,12/30/1899 10:06:35 AM,12/30/1899 12:00:26 AM,0,0,0.001957531,0.0225,-1.075,0.25375,-82.349552633,48.443029632
4,1,18,266,12/30/1899 10:06:35 AM,12/30/1899 12:00:26 AM,0,0,0.002186085,0.02625,-1.02625,0.21875,-82.349552533,48.443029573
4,1,18,268,12/30/1899 10:06:35 AM,12/30/1899 12:00:26 AM,0,0,0.000905330,0.0675,-1.0675,0.225,-82.349552751,48.443029665
4,1,18,271,12/30/1899 10:06:35 AM,12/30/1899 12:00:27 AM,0,0,0.000926777,0.045,-1.06375,0.2125,-82.349553277,48.443029758
4,1,18,272,12/30/1899 10:06:35 AM,12/30/1899 12:00:27 AM,0,0,0.000893283,0.05125,-1.08125,0.195,-82.349553607,48.443029754
4,1,18,273,12/30/1899 10:06:36 AM,12/30/1899 12:00:27 AM,0,0,0.000905330,0.05125,-1.09125,0.2175,-82.349553943,48.443029703
4,1,18,276,12/30/1899 10:06:36 AM,12/30/1899 12:00:27 AM,0,0,0.001030330,0.085,-1.07,0.24375,-82.349554505,48.443029249
4,1,18,277,12/30/1899 10:06:36 AM,12/30/1899 12:00:27 AM,0,0,0.000780330,0.095,-1.07125,0.23125,-82.349554701,48.443029041
4,1,18,278,12/30/1899 10:06:36 AM,12/30/1899 12:00:27 AM,0,0,0.001246836,0.09625,-1.07375,0.235,-82.349554880,48.443028854
4,1,18,281,12/30/1899 10:06:36 AM,12/30/1899 12:00:28 AM,0,0,0.000801777,0.09375,-1.06,0.25,-82.349555490,48.443028453
4,1,18,282,12/30/1899 10:06:36 AM,12/30/1899 12:00:28 AM,0,0,0.000625,0.10375,-1.055,0.2575,-82.349555817,48.443028399
4,1,18,288,12/30/1899 10:06:37 AM,12/30/1899 12:00:28 AM,0,0,0.001082107,0.08125,-1.0625,0.24125,-82.349556878,48.443028912
4,1,18,287,12/30/1899 10:06:37 AM,12/30/1899 12:00:28 AM,0,0,0.001258883,0.0875,-1.07,0.24125,-82.349556772,48.443028800
4,1,18,286,12/30/1899 10:06:37 AM,12/30/1899 12:00:28 AM,0,0,0.000676777,0.09125,-1.05875,0.25,-82.349556592,48.443028663
4,1,18,283,12/30/1899 10:06:37 AM,12/30/1899 12:00:28 AM,0,0,0.001603978,0.10375,-1.0625,0.25125,-82.349556081,48.443028405
4,1,18,292,12/30/1899 10:06:37 AM,12/30/1899 12:00:29 AM,0,0,0.001508062,0.07625,-1.05875,0.24375,-82.349556836,48.443029253
4,1,18,291,12/30/1899 10:06:37 AM,12/30/1899 12:00:29 AM,0,0,0.000926777,0.0775,-1.06875,0.2425,-82.349556810,48.443029165
4,1,18,293,12/30/1899 10:06:38 AM,12/30/1899 12:00:29 AM,0,0,0.000375,0.07625,-1.0625,0.25,-82.349556893,48.443029358
4,1,18,297,12/30/1899 10:06:38 AM,12/30/1899 12:00:29 AM,0,0,0.000551777,0.09125,-1.06,0.25,-82.349557207,48.443029727
4,1,18,298,12/30/1899 10:06:38 AM,12/30/1899 12:00:29 AM,0,0,0.000500000,0.0975,-1.065,0.25125,-82.349557328,48.443029836
4,1,18,296,12/30/1899 10:06:38 AM,12/30/1899 12:00:29 AM,0,0,0.001548613,0.09875,-1.06,0.2525,-82.349557091,48.443029637
4,1,18,302,12/30/1899 10:06:38 AM,12/30/1899 12:00:30 AM,0,0,0,0.0875,-1.0625,0.25,-82.349557721,48.443030324
4,1,18,301,12/30/1899 10:06:38 AM,12/30/1899 12:00:30 AM,0,0,0.001258062,0.08875,-1.055,0.2525,-82.349557608,48.443030202
4,1,18,306,12/30/1899 10:06:39 AM,12/30/1899 12:00:30 AM,0,0,0.001051777,0.075,-1.06125,0.2525,-82.349558090,48.443030836
4,1,18,307,12/30/1899 10:06:39 AM,12/30/1899 12:00:30 AM,0,0,0.000801777,0.07875,-1.05375,0.2525,-82.349558220,48.443030984
4,1,18,308,12/30/1899 10:06:39 AM,12/30/1899 12:00:30 AM,0,0,0.001121836,0.08375,-1.06,0.25375,-82.349558331,48.443031094
4,1,18,303,12/30/1899 10:06:39 AM,12/30/1899 12:00:30 AM,0,0,0.0005,0.08875,-1.0625,0.2475,-82.349557832,48.443030426
4,1,18,311,12/30/1899 10:06:39 AM,12/30/1899 12:00:31 AM,0,0,0.000551777,0.095,-1.06375,0.24125,-82.349558424,48.443031430
4,1,18,312,12/30/1899 10:06:39 AM,12/30/1899 12:00:31 AM,0,0,0.000603553,0.09875,-1.065,0.23875,-82.349558469,48.443031548
4,1,18,318,12/30/1899 10:06:40 AM,12/30/1899 12:00:31 AM,0,0,0.001246836,0.08125,-1.0475,0.27,-82.349558908,48.443032490
4,1,18,317,12/30/1899 10:06:40 AM,12/30/1899 12:00:31 AM,0,0,0.000905330,0.0875,-1.05625,0.26375,-82.349558771,48.443032325
4,1,18,316,12/30/1899 10:06:40 AM,12/30/1899 12:00:31 AM,0,0,0.000676777,0.0925,-1.06125,0.26125,-82.349558663,48.443032146
4,1,18,313,12/30/1899 10:06:40 AM,12/30/1899 12:00:31 AM,0,0,0.001111615,0.105,-1.06375,0.2475,-82.349558507,48.443031667
4,1,18,321,12/30/1899 10:06:40 AM,12/30/1899 12:00:32 AM,0,0,0.000603553,0.075,-1.05875,0.25375,-82.349559356,48.443033067
4,1,18,322,12/30/1899 10:06:40 AM,12/30/1899 12:00:32 AM,0,0,0.001155330,0.075,-1.07125,0.255,-82.349559554,48.443033264
4,1,18,327,12/30/1899 10:06:41 AM,12/30/1899 12:00:32 AM,0,0,0.001286566,0.05375,-1.055,0.27125,-82.349560270,48.443034168
4,1,18,326,12/30/1899 10:06:41 AM,12/30/1899 12:00:32 AM,0,0,0.001070060,0.05625,-1.05625,0.26375,-82.349560079,48.443033975
4,1,18,323,12/30/1899 10:06:41 AM,12/30/1899 12:00:32 AM,0,0,0.001258883,0.07125,-1.0575,0.25875,-82.349559739,48.443033444
4,1,18,328,12/30/1899 10:06:41 AM,12/30/1899 12:00:32 AM,0,0,0.001030330,0.0775,-1.055,0.27125,-82.349560461,48.443034363
4,1,18,332,12/30/1899 10:06:41 AM,12/30/1899 12:00:33 AM,0,0,0.001679849,0.04375,-1.05625,0.2725,-82.349560860,48.443035220
4,1,18,331,12/30/1899 10:06:41 AM,12/30/1899 12:00:33 AM,0,0,0.001463343,0.0475,-1.075,0.235,-82.349560758,48.443035011
4,1,18,338,12/30/1899 10:06:42 AM,12/30/1899 12:00:33 AM,0,0,0.000250000,0,-1.0725,0.25,-82.349561040,48.443036256
4,1,18,337,12/30/1899 10:06:42 AM,12/30/1899 12:00:33 AM,0,0,0.000801777,0.0075,-1.065,0.26,-82.349561009,48.443036127
4,1,18,336,12/30/1899 10:06:42 AM,12/30/1899 12:00:33 AM,0,0,0.000945060,0.01125,-1.06875,0.25375,-82.349560974,48.443035988
4,1,18,333,12/30/1899 10:06:42 AM,12/30/1899 12:00:33 AM,0,0,0.002058324,0.025,-1.0525,0.26875,-82.349560931,48.443035431
